[2024-10-24 15:25:33] debug: 	zh:ember:ezsp: ===> [FRAME: ID=273:"IMPORT_TRANSIENT_KEY" Seq=51 Len=30]
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=3 frmRx=5](ackRx=3)
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=3 frmTx=4)
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=5](frmRx=5) Added to rxQueue
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=4)
[2024-10-24 15:25:33] debug: 	zh:ember:ezsp: <=== [FRAME: ID=273:"IMPORT_TRANSIENT_KEY" Seq=51 Len=9]
[2024-10-24 15:25:33] debug: 	zh:ember:ezsp: ===> [FRAME: ID=85:"SET_POLICY" Seq=52 Len=7]
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=4 frmRx=6](ackRx=4)
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5](ackRx=4 frmTx=5)
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5 frmNum=6](frmRx=6) Added to rxQueue
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=7](ackRx=5)
[2024-10-24 15:25:33] debug: 	zh:ember:ezsp: <=== [FRAME: ID=85:"SET_POLICY" Seq=52 Len=6]
[2024-10-24 15:25:33] debug: 	zh:ember: [EzspPolicyId] SET 'TRUST_CENTER_POLICY' TO '3' with status=OK.
[2024-10-24 15:25:33] debug: 	zh:ember:ezsp: ===> [FRAME: ID=34:"PERMIT_JOINING" Seq=53 Len=6]
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=5 frmRx=7](ackRx=5)
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=5 frmTx=6)
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=7](frmRx=7) Added to rxQueue
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=6)
[2024-10-24 15:25:33] debug: 	zh:ember:ezsp: <=== [FRAME: ID=34:"PERMIT_JOINING" Seq=53 Len=6]
[2024-10-24 15:25:33] debug: 	zh:ember: Permit joining for 254 sec. status=0
[2024-10-24 15:25:33] debug: 	zh:ember: ~~~> [ZDO PERMIT_JOINING_REQUEST BROADCAST to=65532 messageTag=127 messageContents=7ffe01]
[2024-10-24 15:25:33] debug: 	zh:ember:ezsp: ===> [FRAME: ID=54:"SEND_BROADCAST" Seq=54 Len=24]
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=6 frmRx=0](ackRx=6)
[2024-10-24 15:25:33] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
